strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available
fedavg,2,2.302593231201172,0.09875000268220901,0.3721521496772766,0.8829166889190674,float32,42.49099588394165,900136,83.4,94.7,206200832
fedavg,3,2.302593231201172,0.09875000268220901,0.3984563648700714,0.8687499761581421,float32,43.41760969161987,900136,86.9,94.1,233582592
fedavg,4,2.302593231201172,0.09875000268220901,0.35414010286331177,0.89083331823349,float32,40.89076495170593,900136,47.8,93.5,256897024
fedavg,5,2.302593231201172,0.09875000268220901,0.29725387692451477,0.909583330154419,float32,327.3472521305084,900136,84.1,81.6,721825792
fedavg,1,2.302619457244873,0.051249999552965164,0.37780460715293884,0.8912500143051147,float32,14.665913581848145,900136,71.6,79.5,805847040
fedavg,2,2.302619457244873,0.051249999552965164,2.304013252258301,0.09833333641290665,float32,37.53249382972717,900136,90.2,89.6,410181632
fedavg,3,2.302619457244873,0.051249999552965164,0.29479265213012695,0.9120833277702332,float32,37.26909160614014,900136,90.0,90.9,358076416
fedavg,4,2.302619457244873,0.051249999552965164,0.30147960782051086,0.909583330154419,float32,36.95320677757263,900136,88.9,95.5,176713728
fedavg,2,2.302579164505005,0.10499999672174454,0.3502359688282013,0.9020833373069763,float32,37.37758755683899,900136,78.2,83.5,647221248
fedavg,3,2.302579164505005,0.10499999672174454,0.33325937390327454,0.9008333086967468,float32,41.10415768623352,900136,76.0,91.9,317841408
fedavg,4,2.302579164505005,0.10499999672174454,0.353344589471817,0.8941666483879089,float32,37.87160801887512,900136,82.8,94.4,221003776
fedavg,5,2.302579164505005,0.10499999672174454,0.3219750225543976,0.8983333110809326,float32,41.097095251083374,900136,82.4,91.7,325144576
